iter	RMSE
0	17.76928273
1	16.89894137
2	16.31837773
3	15.80371187
4	15.25904448
5	14.88744873
6	14.53064524
7	14.12383238
8	13.89517531
9	13.67683494
10	13.40829936
11	13.09909142
12	12.93332185
13	12.77991767
14	12.56511016
15	12.3800779
16	12.28927496
17	12.17851916
18	11.95456168
19	11.7726614
20	11.6451343
21	11.55234476
22	11.47052883
23	11.42026053
24	11.33470474
25	11.22555077
26	11.17836848
27	11.09133293
28	11.00590373
29	10.92791277
30	10.89552432
31	10.86605438
32	10.8371596
33	10.79174888
34	10.73589162
35	10.70786031
36	10.66477731
37	10.60312826
38	10.58206461
39	10.4848653
40	10.46266619
41	10.44891624
42	10.42934781
43	10.39277397
44	10.35383834
45	10.32175315
46	10.25021513
47	10.2140887
48	10.19150923
49	10.15805982
50	10.12982546
51	10.10045392
52	10.06407008
53	10.0524823
54	10.03136319
55	10.01450692
56	9.99465638
57	9.956123427
58	9.908904432
59	9.88757694
60	9.8618834
61	9.850513082
62	9.794891543
63	9.773920737
64	9.761010905
65	9.737182562
66	9.716641545
67	9.696331121
68	9.684103493
69	9.638507263
70	9.592451005
71	9.552200091
72	9.540044123
73	9.514361849
74	9.500193651
75	9.493250794
76	9.466544518
77	9.462658733
78	9.4499521
79	9.43870108
80	9.428111901
81	9.416650888
82	9.404648688
83	9.393983991
84	9.371101847
85	9.368532099
86	9.357561744
87	9.349929824
88	9.340248437
89	9.3273933
90	9.316325024
91	9.30491734
92	9.303405585
93	9.287663289
94	9.279346462
95	9.264338801
96	9.254281581
97	9.246141334
98	9.230018825
99	9.225730485
100	9.215856893
101	9.204733453
102	9.196504193
103	9.191314241
104	9.182515344
105	9.161035318
106	9.158234771
107	9.157134629
108	9.156115996
109	9.152017188
110	9.141381214
111	9.123787864
112	9.123117382
113	9.11023529
114	9.103532865
115	9.078080918
116	9.056066596
117	9.050613037
118	9.048341931
119	9.046402159
120	9.038411019
121	9.03070896
122	9.011704276
123	8.996602349
124	8.976205163
125	8.965524593
126	8.958986005
127	8.951512057
128	8.943394805
129	8.94214052
130	8.939243522
131	8.934850483
132	8.923124053
133	8.915141195
134	8.907325087
135	8.906051267
136	8.904427489
137	8.89848619
138	8.895147339
139	8.894979266
140	8.894658052
141	8.894412465
142	8.894220566
143	8.889844518
144	8.889450241
145	8.879792936
146	8.878975409
147	8.878782241
148	8.871765472
149	8.851428738
150	8.839055586
151	8.836097532
152	8.824442233
153	8.814255763
154	8.813861874
155	8.806459989
156	8.795772542
157	8.782054717
158	8.774619375
159	8.760520017
160	8.751217286
161	8.73664857
162	8.733609708
163	8.72627919
164	8.725949386
165	8.71487063
166	8.711442336
167	8.711323635
168	8.711260231
169	8.710484098
170	8.710230457
171	8.703025307
172	8.688399204
173	8.688153044
174	8.687712807
175	8.679388556
176	8.674681531
177	8.672238711
178	8.671354203
179	8.670824031
180	8.67068322
181	8.670376687
182	8.664290233
183	8.65790116
184	8.657624393
185	8.650976459
186	8.643153533
187	8.642741275
188	8.626936202
189	8.620549793
190	8.614616625
191	8.608881009
192	8.603465461
193	8.603394505
194	8.595077012
195	8.583993352
196	8.583651307
197	8.583534226
198	8.583177648
199	8.583032981
200	8.58296621
201	8.582897504
202	8.57807847
203	8.572813496
204	8.57274713
205	8.571281145
206	8.57123221
207	8.571185697
208	8.570997221
209	8.566802184
210	8.538539268
211	8.538283437
