iter	Passed	Remaining
0	149	74578
1	281	70104
2	405	67120
3	520	64505
4	640	63364
5	746	61463
6	857	60392
7	976	60072
8	1090	59477
9	1214	59522
10	1322	58788
11	1430	58154
12	1530	57347
13	1640	56942
14	1746	56477
15	1840	55688
16	1944	55235
17	2063	55250
18	2166	54835
19	2292	55021
20	2418	55160
21	2542	55249
22	2651	54996
23	2761	54769
24	2849	54148
25	2940	53602
26	3040	53270
27	3136	52879
28	3246	52732
29	3354	52552
30	3462	52388
31	3577	52320
32	3689	52211
33	3797	52050
34	3898	51787
35	3997	51520
36	4103	51344
37	4194	50992
38	4297	50803
39	4387	50457
40	4486	50224
41	4584	49989
42	4684	49784
43	4772	49457
44	4864	49182
45	4969	49048
46	5077	48937
47	5165	48643
48	5268	48489
49	5375	48382
50	5463	48100
51	5556	47867
52	5645	47616
53	5745	47450
54	5858	47401
55	5960	47259
56	6057	47079
57	6166	46991
58	6268	46851
59	6366	46687
60	6479	46628
61	6583	46507
62	6691	46417
63	6793	46279
64	6896	46150
65	6999	46028
66	7095	45859
67	7197	45725
68	7305	45631
69	7419	45574
70	7511	45388
71	7613	45259
72	7712	45112
73	7811	44968
74	7910	44826
75	8020	44745
76	8110	44553
77	8194	44332
78	8299	44231
79	8413	44169
80	8509	44020
81	8597	43826
82	8713	43776
83	8829	43726
84	8917	43540
85	9005	43350
86	9111	43254
87	9202	43086
88	9291	42907
89	9389	42775
90	9500	42701
91	9601	42581
92	9679	42361
93	9767	42187
94	9871	42083
95	9964	41933
96	10075	41858
97	10165	41698
98	10273	41614
99	10365	41460
100	10470	41364
101	10579	41282
102	10697	41233
103	10788	41077
104	10897	40995
105	10998	40879
106	11097	40761
107	11198	40645
108	11285	40482
109	11374	40326
110	11477	40221
111	11588	40146
112	11674	39983
113	11780	39889
114	11886	39795
115	11989	39688
116	12093	39586
117	12195	39478
118	12286	39338
119	12401	39272
120	12502	39161
121	12602	39048
122	12704	38940
123	12795	38799
124	12898	38695
125	12995	38573
126	13083	38426
127	13184	38317
128	13281	38196
129	13378	38076
130	13462	37922
131	13567	37824
132	13672	37727
133	13790	37666
134	13871	37505
135	13956	37353
136	14058	37248
137	14159	37142
138	14263	37044
139	14343	36882
140	14422	36720
141	14501	36560
142	14580	36400
143	14679	36291
144	14760	36137
145	14851	36010
146	14933	35859
147	15061	35820
148	15150	35689
149	15243	35567
150	15347	35471
151	15430	35328
152	15518	35196
153	15626	35108
154	15707	34960
155	15805	34852
156	15909	34757
157	16019	34674
158	16130	34594
159	16217	34462
160	16321	34367
161	16419	34258
162	16502	34118
163	16604	34019
164	16691	33888
165	16807	33817
166	16911	33720
167	16990	33576
168	17067	33427
169	17152	33295
170	17226	33143
171	17333	33055
172	17430	32946
173	17511	32808
174	17595	32676
175	17697	32579
176	17800	32483
177	17907	32395
178	17993	32267
179	18093	32166
180	18173	32030
181	18262	31909
182	18354	31793
183	18457	31698
184	18540	31568
185	18644	31475
186	18735	31358
187	18843	31271
188	18956	31192
189	19055	31090
190	19156	30991
191	19261	30898
192	19349	30778
193	19428	30644
194	19539	30561
195	19628	30444
196	19713	30320
197	19789	30183
198	19872	30057
199	19952	29929
200	20032	29798
201	20108	29664
202	20208	29566
203	20359	29541
204	20436	29408
205	20522	29289
206	20603	29162
207	20681	29033
208	20765	28912
209	20870	28821
210	20958	28706
211	21041	28584
